;meta[language=en]
; id      |key(hex)|key(str)| text
2119999000|00000000||MOD questgroup_trial3 Quests
2119999001|00000000||Calm the horse by your presence.
2119999002|00000000||See what's happening in Kaer Morhen's courtyard.
2119999003|00000000||Geralt heard some strange noises in the courtyard.<\br>
2119999004|00000000||He discovered some happy workers.<br/>
2119999005|00000000||At last, he managed to calm everyone down.
2119999006|00000000||Workers Unite!
2119999007|00000000|dlc_name_trial3|Workers Unite
2119999008|00000000|option_dlc_name_trial3|MOD: Workers Unite
2119999009|00000000|content_name_dlc_trial3|MOD: Workers Unite
; 
