;meta[language=en]
; id      |key(hex)|key(str)| text
;
; rename this file to mod<YOUR MODNAME>.speech.csv and
; add all strings for custom voicelines like the example line below.
;
; make sure the XXXX is the string id-space of the project and nnn is unique
; for every line.
;
;211XXXXnnn|||example voiceline text
;
; 
;meta[language=en]
; id      |key(hex)|key(str)| text
2111409420|00000000|dlc_name_trial7|Langeness
2111409421|00000000|option_dlc_name_trial7|MOD: Langeness
2111409422|00000000|content_name_dlc_trial7|MOD: Langeness
; 
