;meta[language=en]
; id      |key(hex)|key(str)| text
2111410300|00000000||You're wasting my time.
2111410301|00000000||[Use Axii]
2111410302|00000000||Can I interest you in some money?
2111410303|00000000||Few things you might want to consider.
2111410304|00000000||I’ll be fine without it.
2111410305|00000000||[buy the amulet]
2111410306|00000000||[don't buy it]
2111410307|00000000||[buy the amulet]
2111410308|00000000||[don't buy it]
2111410309|00000000||... looks mighty cursed to me.
2111410310|00000000||... doesn’t seem as powerful as you describe it.
2111410311|00000000||... is clearly a counterfeit.
2111410312|00000000||... let a sorceress take a look at it.
2111410313|00000000||... destroy it not far from here.
2111410314|00000000||... let it help me end the strange events at the mansion for good.
2111410315|00000000||... will be free thanks to you.
2111410316|00000000||... could come for you out of revenge.
2111410317|00000000||... will terrorize other travelers.
2111410318|00000000||Welcome back, friend. So good to see you’re safe and sound. Have you found any valuable or particular artifacts?
2111410319|00000000||Hardly. Found other particular things though. There are souls trapped in the villa. Need to release ‘em to give the place some peace.
2111410320|00000000||Of course I had my experiences with spirits and such too in my career. Why did these particular spirits call upon me though? Do they have a need for amulets of the highest quality sort?
2111410321|00000000||You’re actually close to the truth. These you could help by providing an amulet with black and red gems, refined gravings. Ring a bell? 
2111410322|00000000||This is the piece you’re looking for. Although, I’m not entirely certain how it will be of use to you.
2111410323|00000000||Don't worry. Thanks for your help.
2111410324|00000000||Ah! But of course I need to humbly ask how those spirits intend to pay me once they receive the ware?
2111410325|00000000||Given it works, the villa is all yours to explore. Though I doubt it’s a nice place to be.
2111410326|00000000||Ah, as much as I treasure my art, I do treasure my life more. And as much as I’d like to help, I can't give such a valuable piece away for free, friend.
2111410327|00000000||You're wasting my time.
2111410328|00000000||W-What are you saying, friend? There's no need for aggression!
2111410329|00000000||Feels more like I’ve regained my senses.
2111410330|00000000||You’re generous today and don’t expect a reward. you choose to go back to your comrades and not enter the dangerous villa.
2111410331|00000000||I’ll be fine without it.
2111410332|00000000||Oh, sure. As you wish, friend. I’m sure you’ll still free those poor spirits without any problems.
2111410333|00000000||I will. you should take your leave now.
2111410334|00000000||And leave I will. Time to return back to my comrades until the events at the villa have been dealt with. I would be overjoyed if you’d pay me a visit afterwards, friend!
2111410335|00000000||We’ll see. Take care.
2111410336|00000000||How much would it cost me to take this amulet off your hands?
2111410337|00000000||A very good question, of course it has its price, which is far from cheap as it is one of the finest-
2111410338|00000000||... but since we already spoke about my role in saving those spirits, money shan’t be an issue! Could we settle for 400 coins?
2111410339|00000000||Still not cheap, but I assume you won’t go lower.
2111410340|00000000||Even if I wanted to, friend, I couldn’t.
2111410341|00000000||... but since I know it’s for a good purpose, I’ll give you a great discount! How do 2000 coins sound to you?
2111410342|00000000||Like burglary. How do you plan to sleep tonight with a conscience that cloudy?
2111410343|00000000||Friend, my consciousness is clear as the jewels in this amulet – I am inclined to help, but we all need to live... or not. 
2111410344|00000000||Few things you might want to consider. The amulet...
2111410345|00000000||Seen enough magical artifacts to know when one is cursed. This one fits this feeling.
2111410346|00000000||You confuse me, dear friend... cursed, my amulet?
2111410347|00000000||It’s my daily business. I could still use it for the spirits, but selling it to human beings? Recipe for disaster.
2111410348|00000000||Hm..
2111410349|00000000||Gets me thinking if it really is of help and worth as much as you claim.
